,R0000100,sampleid,race_x,sex_x,fam1,fam2,fam3,fam4,fam5,fam6,fam7,fam8,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race_y,sex_y,dob,yadultid,jobdissatisfaction1,jobdissatisfaction2,jobdissatisfaction3,jobdissatisfaction4,jobdissatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age,Self-Esteem,Pearlin,Famattscore,famattmom,sex_2
2,8,6,3,2,4,4,2,3,3,3,4,2,3,2,3,3,22.0,21.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,803,8,3,2,1982,803,1,4,2,-7,-7,64000,-7,-7,56000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,2,4,4,4,4,4,4,3,4,4,5,2,38,25.0,16.0,44,25,1
4,16,5,3,2,4,4,3,4,3,2,3,1,3,2,3,4,26.0,19.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,1603,16,3,2,1996,1603,2,3,-7,-7,-7,0,-7,-7,-7,-7,2.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3,3,1,1,2,3,3,3,2,3,3,2,1,3,3,3,3,3,3,3,3,2,2,4,3,-7,-7,24,21.0,20.0,35,24,1
5,30,5,3,2,3,2,2,2,3,2,3,4,3,2,2,3,20.0,30.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,3001,30,3,1,1982,3001,1,-7,-7,-7,-7,20000,-7,-7,0,-7,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,3,2,2,2,3,2,1,4,2,5,11,37,28.0,14.0,28,21,0
6,30,5,3,2,3,2,2,2,3,2,3,4,3,2,2,3,20.0,30.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,3002,30,3,1,1987,3002,1,-7,-7,-7,-7,17000,-7,-7,-7,-7,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,2,3,3,2,4,3,2,4,4,2,-7,4,33,24.0,15.0,36,21,0
7,43,6,3,2,4,4,3,2,3,4,3,2,3,2,1,2,20.0,24.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,4301,43,3,2,1982,4301,2,2,3,-7,-7,28000,-7,-7,42000,-7,1.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,3,4,4,3,4,2,3,3,4,3,7,4,38,29.0,14.0,41,25,1
8,43,6,3,2,4,4,3,2,3,4,3,2,3,2,1,2,20.0,24.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,4303,43,3,2,1997,4303,1,1,-7,-7,-7,11000,-7,-7,-7,-7,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3,3,2,2,2,2,2,1,1,0,2,2,0,4,3,2,4,3,4,4,3,2,2,4,3,-7,-7,23,22.0,18.0,38,25,1
9,49,5,3,2,3,4,2,3,3,3,4,4,3,2,3,3,18.0,24.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,4902,49,3,1,1987,4902,1,1,-7,-7,-7,72000,-7,-7,43000,-7,1.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,1,4,4,4,4,3,4,3,4,3,-7,9,33,22.0,16.0,41,26,0
10,57,5,3,2,4,4,3,4,3,4,4,3,3,2,3,4,28.0,26.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,5702,57,3,1,1995,5702,2,4,1,-7,-7,14000,-7,-7,-7,-7,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,3,1,3,2,2,2,4,4,2,-7,25,25.0,18.0,29,29,0
11,61,5,3,2,4,4,2,3,3,3,4,4,3,2,3,4,28.0,25.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6102,61,3,1,1994,6102,2,2,-7,-7,-7,40000,-7,-7,-2,-7,2.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,3,4,3,4,4,3,2,3,3,4,5,-7,26,30.0,16.0,41,27,0
12,61,5,3,2,4,4,2,3,3,3,4,4,3,2,3,4,28.0,25.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6103,61,3,1,2003,6103,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2,3,0,0,0,0,0,1,3,1,1,1,0,4,2,3,3,3,2,3,3,2,2,4,3,-7,-7,17,25.0,17.0,34,27,0
13,62,5,3,2,4,3,3,4,4,3,4,3,3,2,2,2,25.0,22.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,6201,62,3,1,1996,6201,2,-7,-7,-7,-7,26000,-7,-7,-7,-7,2.0,2.0,1.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,2,3,0,0,0,0,0,1,1,0,1,0,0,3,4,2,3,2,3,3,3,2,3,4,3,-7,-7,24,27.0,15.0,35,28,0
14,68,5,3,2,4,3,2,3,2,3,4,2,3,2,2,4,29.0,20.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,6802,68,3,1,1995,6802,1,1,-7,-7,-7,106000,-7,-7,-7,-7,1.0,1.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,2,4,2,4,3,3,3,3,4,4,7,-7,25,33.0,14.0,40,23,0
15,68,5,3,2,4,3,2,3,2,3,4,2,3,2,2,4,29.0,20.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,6803,68,3,2,1996,6803,2,1,-7,-7,-7,30000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2,3,0,0,0,0,1,1,3,0,0,0,0,4,4,3,4,3,4,4,3,3,2,4,4,-7,-7,23,23.0,17.0,42,23,1
16,78,5,3,2,3,3,2,8,0,2,3,8,3,2,1,3,17.0,-3.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7803,78,3,1,1996,7803,2,1,-7,-7,-7,53000,-7,-7,-7,-7,2.0,2.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,1,3,1,0,0,0,0,0,2,0,0,0,0,4,4,3,3,2,3,4,3,3,2,4,3,-7,-7,24,31.0,16.0,38,29,0
17,89,7,2,2,4,4,2,4,4,4,4,4,2,2,4,4,27.0,27.0,-5,-5,-5,-5,-5,-5,6,-4,-4,-4,8901,89,2,2,1986,8901,1,-7,-7,-7,-7,32000,-7,-7,25000,-7,1.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,1,4,2,4,3,3,2,3,4,3,-7,-2,34,28.0,16.0,37,30,1
18,91,5,3,2,4,3,2,3,4,4,4,3,3,2,2,3,27.0,22.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,9101,91,3,1,1994,9101,2,2,-7,-7,-7,20000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,4,4,3,4,4,3,3,1,4,2,5,-7,26,22.0,15.0,38,27,0
19,91,5,3,2,4,3,2,3,4,4,4,3,3,2,2,3,27.0,22.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,9102,91,3,1,1996,9102,1,-7,-7,-7,-7,30000,-7,-7,18000,-7,1.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,1,3,0,0,0,0,0,2,3,0,0,0,0,4,4,3,4,3,4,4,3,3,2,4,2,-7,-7,24,32.0,15.0,40,27,0
20,92,5,3,2,4,4,4,4,3,3,4,4,3,2,2,3,30.0,28.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,9201,92,3,1,1982,9201,3,3,-7,-7,-7,50000,-7,-7,-7,-7,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,3,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,4,3,3,3,2,4,4,3,6,9,38,24.0,19.0,37,30,0
21,95,5,3,2,4,4,3,3,3,3,4,3,3,2,3,3,28.0,20.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,9502,95,3,1,1987,9502,3,-7,-7,-7,-7,65000,-7,-7,65000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,3,3,3,3,3,3,3,3,3,3,-7,-2,33,26.0,16.0,36,27,0
