,R0000100,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race,sex,dob,yadultid,jobdissatisfaction1,jobdissatisfaction2,jobdissatisfaction3,jobdissatisfaction4,jobdissatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age,Self-Esteem,Pearlin,sex_2,race_2,race_3
3,3,3,2,3,3,18.0,25.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,302,3,3,2,1983,302,2.0,-7,-7,-7,-7,0,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,1,0,1,0,1,1,1,1,0,0,1,1,2,2,3,2,3,2,2,2,1,3,6,-7,37,28.0,16.0,1,0,1
4,3,3,2,3,3,18.0,25.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,303,3,3,2,1986,303,2.0,-7,-7,-7,-7,0,-7,-7,110000,-7,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,2,2,3,3,3,2,2,3,-7,-7,34,27.0,17.0,1,0,1
8,8,3,2,3,3,22.0,21.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,802,8,3,1,1979,802,2.0,-7,-7,-7,-7,106000,-7,-7,40000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,1,0,3,2,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,41,28.0,16.0,0,0,1
9,8,3,2,3,3,22.0,21.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,803,8,3,2,1982,803,1.0,4,2,-7,-7,64000,-7,-7,56000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,2,1,4,1,4,1,4,2,1,4,5,2,38,26.0,16.0,1,0,1
10,10,3,2,1,3,20.0,20.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1001,10,3,2,1983,1001,1.0,1,-7,-7,-7,75000,-7,75000,75000,75000,1.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,3,2,4,1,2,2,1,3,7,9,37,31.0,19.0,1,0,1
15,16,3,2,3,4,26.0,19.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,1602,16,3,1,1993,1602,2.0,-7,-7,-7,-7,40000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,0,1
16,16,3,2,3,4,26.0,19.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,1603,16,3,2,1996,1603,2.0,3,-7,-7,-7,0,-7,-7,-7,-7,2.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3,1,1,2,3,3,3,2,3,3,2,1,2,2,3,2,3,2,3,2,2,3,1,3,-7,-7,24,20.0,20.0,1,0,1
18,20,3,2,2,3,26.0,24.0,6,-4,-4,-4,-4,-4,-4,-5,-5,-5,2001,20,3,2,1990,2001,3.0,-7,-7,-7,-7,45000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,2,3,2,2,1,2,2,2,2,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30,28.0,16.0,1,0,1
19,25,3,2,2,3,20.0,21.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,2501,25,3,1,1990,2501,2.0,1,-7,-7,-7,105000,-7,-7,120000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,1,0,3,1,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30,28.0,16.0,0,0,1
20,25,3,2,2,3,20.0,21.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,2502,25,3,2,1993,2502,2.0,-7,-7,-7,-7,57000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,1,0,1
