R0000100,R0173600,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent
1,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,5,3,2,2,3,23,24,10,-4,-4,-4,-4,-4,-4,-4,-4,-4
3,5,3,2,3,3,18,25,7,-4,-4,-4,-4,-4,-4,-4,-4,-4
4,5,3,2,2,4,23,-5,-5,-5,-5,-5,-5,-5,6,-4,-4,-4
5,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,1,3,1,3,4,26,25,8,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,1,3,1,2,3,24,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8,6,3,2,3,3,22,21,8,-4,-4,-4,-4,-4,-4,-4,-4,-4
9,1,3,1,4,3,30,27,4,-4,-4,-4,-4,-4,-4,-5,-4,-4
10,6,3,2,1,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,1,3,1,4,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
12,5,3,2,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,1,3,1,2,3,29,30,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
14,5,3,2,4,4,28,30,4,-4,-4,-4,-4,-4,-4,-5,-5,-5
15,1,3,1,4,2,29,20,7,-4,-4,-4,-4,-4,-4,-4,-4,-4
16,5,3,2,3,4,26,19,6,-4,-4,-4,-4,-4,-4,-4,-4,-4
17,1,3,1,4,4,20,20,9,-4,-4,-4,-4,-4,-4,-4,-4,-4
18,1,3,1,3,3,28,20,5,-4,-4,-4,-4,-4,-4,-4,-4,-4
19,5,3,2,3,3,30,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
20,5,3,2,2,3,26,24,6,-4,-4,-4,-4,-4,-4,-5,-5,-5
21,5,3,2,4,4,28,29,7,-4,-4,-4,-4,-4,-4,-4,-4,-4
22,5,3,2,2,3,16,15,6,-4,-4,-4,-4,-4,-4,-5,-4,-4
23,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,1,3,1,3,3,28,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
25,5,3,2,2,3,20,21,8,-4,-4,-4,-4,-4,-4,-4,-4,-4
26,1,3,1,3,4,30,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
27,5,3,2,3,3,28,30,6,-4,-4,-4,-4,-4,-4,-4,-4,-4
28,5,3,2,2,3,24,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
29,5,3,2,2,3,30,30,10,-4,-4,-4,-4,-4,-4,-4,-4,-4
30,5,3,2,2,3,20,30,7,-4,-4,-4,-4,-4,-4,-4,-4,-4
31,4,1,1,4,3,20,19,7,-4,-4,-4,-4,-4,-4,-4,-4,-4
32,8,1,2,3,3,27,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
33,4,1,1,-5,-5,-5,24,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4
34,1,3,1,4,4,27,21,5,-4,-4,-4,-4,-4,-4,-4,-4,-4
35,5,3,2,1,2,28,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
36,1,3,1,3,-3,20,20,12,-4,-4,-4,-4,-4,-4,-4,-4,-4
37,5,3,2,1,2,25,27,8,-4,-4,-4,-4,-4,-4,-4,-4,-4
38,5,3,2,1,4,21,22,8,-4,-4,-4,-4,-4,-4,-4,-4,-4
39,1,3,1,3,4,30,25,7,-4,-4,-4,-4,-4,-4,-4,-4,-4
40,2,3,1,1,3,23,22,6,-4,-4,-4,-4,-4,-4,-4,-4,-4
41,2,3,1,3,4,23,30,9,-4,-4,-4,-4,-4,-4,-4,-4,-4
42,1,3,1,3,3,20,20,7,-4,-4,-4,-4,-4,-4,-5,-5,-5
43,6,3,2,1,2,20,24,9,-4,-4,-4,-4,-4,-4,-4,-4,-4
44,5,3,2,3,3,21,30,4,-4,-4,-4,-4,-4,-4,-4,-4,-4
45,1,3,1,3,3,24,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,5,3,2,2,3,21,26,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
47,1,3,1,3,2,20,23,5,-4,-4,-4,-4,-4,-4,-4,-4,-4
48,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
