,R0000100,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race,sex,dob,yadultid,jobsatisfaction1,jobsatisfaction2,jobsatisfaction3,jobsatisfaction4,jobsatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age
0,2,3,2,2,3,23,24,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,201,2,3,2,1993,201,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1,2,3,2,2,3,23,24,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,202,2,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
2,3,3,2,3,3,18,25,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,301,3,3,2,1981,301,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
3,3,3,2,3,3,18,25,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,302,3,3,2,1983,302,2,-7,-7,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,0,1,0,1,1,1,1,0,0,1,1,2,2,3,2,3,2,2,2,1,3,6,-7,37
4,3,3,2,3,3,18,25,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,303,3,3,2,1986,303,2,-7,-7,-7,-7,0,-7,-7,110000,-7,2,2,2,3,2,3,3,3,3,2,3,2,3,3,2,2,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,2,2,3,3,3,2,2,3,-7,-7,34
5,4,3,2,2,4,23,-5,-5,-5,-5,-5,-5,-5,6,-4,-4,-4,401,4,3,1,1980,401,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
6,4,3,2,2,4,23,-5,-5,-5,-5,-5,-5,-5,6,-4,-4,-4,403,4,3,2,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
7,8,3,2,3,3,22,21,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,801,8,3,2,1976,801,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
8,8,3,2,3,3,22,21,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,802,8,3,1,1979,802,2,-7,-7,-7,-7,106000,-7,-7,40000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0,3,2,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,41
9,8,3,2,3,3,22,21,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,803,8,3,2,1982,803,1,4,2,-7,-7,64000,-7,-7,56000,-7,2,2,2,3,2,3,2,3,3,2,3,2,3,3,2,3,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,2,1,4,1,4,1,4,2,1,4,5,2,38
